common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common
Rock Pipit,http://app.bto.org/birdfacts/results/bob10142.htm,Anthus petrosus,"Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,RC,ROCPI,31622.77660168378
Chaffinch,http://app.bto.org/birdfacts/results/bob16360.htm,Fringilla coelebs,"Resident Breeder, Passage/Winter Visitor",5.8E06 Territories,CH,CHAFF,5800000.0
Brambling,http://app.bto.org/birdfacts/results/bob16380.htm,Fringilla montifringilla,"Scarce Breeder, Passage/Winter Visitor",100000 - 500000 Birds,BL,BRAMB,223606.79774997893
Evening Grosbeak,http://app.bto.org/birdfacts/results/bob17180.htm,Hesperiphona vespertina,Accidental,1-10 Records,,EVEGR,3.1622776601683795
Hawfinch,http://app.bto.org/birdfacts/results/bob17170.htm,Coccothraustes coccothraustes,"Resident Breeder, Passage Visitor",500 - 1000 Pairs,HF,HAWFI,707.1067811865473
Pine Grosbeak,http://app.bto.org/birdfacts/results/bob16990.htm,Pinicola enucleator,Accidental,1-10 Records,,PINGR,3.1622776601683795
Bullfinch,http://app.bto.org/birdfacts/results/bob17100.htm,Pyrrhula pyrrhula,"Resident Breeder, Scarce Visitor",100000 - 500000 Territories,BF,BULLF,223606.79774997893
Trumpeter Finch,http://app.bto.org/birdfacts/results/bob16760.htm,Bucanetes githagineus,Accidental,10 - 100 Records,,TRUFI,31.622776601683803
Common Rosefinch,http://app.bto.org/birdfacts/results/bob16790.htm,Carpodacus erythrinus,"Scarce Breeder, Passage Visitor",100-500 Birds,SQ,SCARO,223.606797749979
Greenfinch,http://app.bto.org/birdfacts/results/bob16490.htm,Chloris chloris,"Resident Breeder, Winter Visitor",1.7E06 Pairs,GR,GREFI,1700000.0
Twite,http://app.bto.org/birdfacts/results/bob16620.htm,Linaria flavirostris,"Migrant/Resident Breeder, Winter Visitor",1000 - 10000 Pairs,TW,TWITE,3162.2776601683804
