common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common,scientific_name_lower_bl,wiki_status,scientific_name_lower_wiki,inaturalist_id,inaturalist_scientific_name,inaturalist_common_name
Great Crested Grebe,http://app.bto.org/birdfacts/results/bob90.htm,Podiceps cristatus,"Resident Breeder, Winter Visitor",1000 - 10000 Pairs,GG,GRCGR,3162.277660168381,podiceps cristatus,A resident breeder and winter visitor,podiceps cristatus,4208,Podiceps cristatus,Great Crested Grebe
Slavonian Grebe,http://app.bto.org/birdfacts/results/bob110.htm,Podiceps auritus,"Resident Breeder, Winter Visitor",10 - 100 Pairs,SZ,SLAGR,31.622776601683803,podiceps auritus,A resident breeder and winter visitor,podiceps auritus,4209,Podiceps auritus,Horned Grebe
Black-necked Grebe,http://app.bto.org/birdfacts/results/bob120.htm,Podiceps nigricollis,"Migrant/Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,BN,BLNGR,31.622776601683803,podiceps nigricollis,A resident breeder and winter visitor,podiceps nigricollis,4205,Podiceps nigricollis,Eared Grebe
Stone-curlew,http://app.bto.org/birdfacts/results/bob4590.htm,Burhinus oedicnemus,Migrant Breeder,100-500 Pairs,TN,STOCU,223.606797749979,burhinus oedicnemus,,,4923,Burhinus oedicnemus,Eurasian Stone-curlew
Oystercatcher,http://app.bto.org/birdfacts/results/bob4500.htm,Haematopus ostralegus,"Migrant/Resident Breeder, Passage/Winter Visitor",100000 - 500000 Pairs,OC,OYSTE,223606.7977499789,haematopus ostralegus,,,4843,Haematopus ostralegus,Eurasian Oystercatcher
Black-winged Stilt,http://app.bto.org/birdfacts/results/bob4550.htm,Himantopus himantopus,"Scarce Visitor, Has Bred",100-500 Records,IT,BLWST,223.606797749979,himantopus himantopus,A rare vagrant and occasional breeder,himantopus himantopus,4835,Himantopus himantopus,Black-winged Stilt
Avocet,http://app.bto.org/birdfacts/results/bob4560.htm,Recurvirostra avosetta,"Migrant/Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,AV,AVOCE,3162.277660168381,recurvirostra avosetta,,,4883,Recurvirostra avosetta,Pied Avocet
Lapwing,http://app.bto.org/birdfacts/results/bob4930.htm,Vanellus vanellus,"Migrant/Resident Breeder, Passage/Winter Visitor",100000 - 500000 Pairs,L.,LAPWI,223606.7977499789,vanellus vanellus,A resident breeding species,vanellus vanellus,4857,Vanellus vanellus,Northern Lapwing
Sociable Lapwing,http://app.bto.org/birdfacts/results/bob4910.htm,Vanellus gregarius,Accidental,10 - 100 Records,IP,SOCPL,31.622776601683803,vanellus gregarius,A rare vagrant,vanellus gregarius,4858,Vanellus gregarius,Sociable Lapwing
White-tailed Lapwing,http://app.bto.org/birdfacts/results/bob4920.htm,Vanellus leucurus,Accidental,1-10 Records,,WHTPL,3.1622776601683795,vanellus leucurus,A rare vagrant,vanellus leucurus,4860,Vanellus leucurus,White-tailed Lapwing
Golden Plover,http://app.bto.org/birdfacts/results/bob4850.htm,Pluvialis apricaria,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,GP,GOLPL,31622.776601683774,pluvialis apricaria,,,4889,Pluvialis apricaria,European Golden Plover
Pacific Golden Plover,http://app.bto.org/birdfacts/results/bob4842.htm,Pluvialis fulva,Accidental,10 - 100 Records,IF,PAGPL,31.622776601683803,pluvialis fulva,A rare vagrant,pluvialis fulva,4896,Pluvialis fulva,Pacific Golden-Plover
American Golden Plover,http://app.bto.org/birdfacts/results/bob4841.htm,Pluvialis dominica,Scarce Visitor,10 - 100 Birds,ID,AMGPL,31.622776601683803,pluvialis dominica,A scarce migrant,pluvialis dominica,4893,Pluvialis dominica,American Golden-Plover
Grey Plover,http://app.bto.org/birdfacts/results/bob4860.htm,Pluvialis squatarola,Passage/Winter Visitor,10000 - 100000 Birds,GV,GREPL,31622.776601683774,pluvialis squatarola,A winter visitor and passage migrant,pluvialis squatarola,4892,Pluvialis squatarola,Black-bellied Plover
Ringed Plover,http://app.bto.org/birdfacts/results/bob4700.htm,Charadrius hiaticula,"Migrant/Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,RP,RINPL,3162.277660168381,charadrius hiaticula,A resident breeding species and summer visitor,charadrius hiaticula,4801,Charadrius hiaticula,Common Ringed Plover
Semipalmated Plover,http://app.bto.org/birdfacts/results/bob4710.htm,Charadrius semipalmatus,Accidental,1-10 Records,TV,SEMPL,3.1622776601683795,charadrius semipalmatus,A rare vagrant,charadrius semipalmatus,4817,Charadrius semipalmatus,Semipalmated Plover
Little Ringed Plover,http://app.bto.org/birdfacts/results/bob4690.htm,Charadrius dubius,"Migrant Breeder, Passage Visitor",1000 - 10000 Pairs,LP,LIRPL,3162.277660168381,charadrius dubius,A breeding summer visitor,charadrius dubius,4811,Charadrius dubius,Little Ringed Plover
Killdeer,http://app.bto.org/birdfacts/results/bob4740.htm,Charadrius vociferus,Accidental,10 - 100 Records,KL,KILLD,31.622776601683803,charadrius vociferus,A rare vagrant,charadrius vociferus,4793,Charadrius vociferus,Killdeer
Kentish Plover,http://app.bto.org/birdfacts/results/bob4770.htm,Charadrius alexandrinus,"Former Breeder, Scarce Visitor",10 - 100 Birds,KP,KENPL,31.622776601683803,charadrius alexandrinus,"A scarce migrant, formerly bred",charadrius alexandrinus,4789,Charadrius alexandrinus,Kentish Plover
Lesser Sand Plover,http://app.bto.org/birdfacts/results/bob4780.htm,Charadrius mongolus,Accidental,1-10 Records,DQ,,3.1622776601683795,charadrius mongolus,A rare vagrant,charadrius mongolus,4785,Charadrius mongolus,Lesser Sand-Plover
Greater Sand Plover,http://app.bto.org/birdfacts/results/bob4790.htm,Charadrius leschenaultii,Accidental,10 - 100 Records,DP,GRSPL,31.622776601683803,charadrius leschenaultii,A rare vagrant,charadrius leschenaultii,4812,Charadrius leschenaultii,Greater Sand-Plover
Caspian Plover,http://app.bto.org/birdfacts/results/bob4800.htm,Charadrius asiaticus,Accidental,1-10 Records,,CASPL,3.1622776601683795,charadrius asiaticus,A rare vagrant,charadrius asiaticus,4821,Charadrius asiaticus,Caspian Plover
Dotterel,http://app.bto.org/birdfacts/results/bob4820.htm,Charadrius morinellus,"Migrant Breeder, Passage Visitor",500 - 1000 Males,DO,DOTTE,707.1067811865472,charadrius morinellus,,,144486,Charadrius morinellus,Eurasian Dotterel
Upland Sandpiper,http://app.bto.org/birdfacts/results/bob5440.htm,Bartramia longicauda,Accidental,10 - 100 Records,UP,UPLSA,31.622776601683803,bartramia longicauda,A rare vagrant,bartramia longicauda,3962,Bartramia longicauda,Upland Sandpiper
Whimbrel,http://app.bto.org/birdfacts/results/bob5380.htm,Numenius phaeopus,"Migrant Breeder, Passage Visitor",500 - 1000 Pairs,WM,WHIMB,707.1067811865472,numenius phaeopus,,,3901,Numenius phaeopus,Whimbrel
Little Curlew,http://app.bto.org/birdfacts/results/bob5360.htm,Numenius minutus,Accidental,1-10 Records,,LITWH,3.1622776601683795,numenius minutus,A rare vagrant,numenius minutus,3900,Numenius minutus,Little Curlew
Eskimo Curlew,http://app.bto.org/birdfacts/results/bob5370.htm,Numenius borealis,"Extinct (1963), Last Record 1887", ,,ESKCU,,numenius borealis,B (extinct),numenius borealis,3895,Numenius borealis,Eskimo Curlew
Curlew,http://app.bto.org/birdfacts/results/bob5410.htm,Numenius arquata,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,CU,CURLE,31622.776601683774,numenius arquata,A resident breeding species,numenius arquata,3896,Numenius arquata,Eurasian Curlew
Bar-tailed Godwit,http://app.bto.org/birdfacts/results/bob5340.htm,Limosa lapponica,Passage/Winter Visitor,10000 - 100000 Birds,BA,BATGO,31622.776601683774,limosa lapponica,A winter visitor & passage migrant,limosa lapponica,3951,Limosa lapponica,Bar-tailed Godwit
Black-tailed Godwit,http://app.bto.org/birdfacts/results/bob5320.htm,Limosa limosa,"Migrant Breeder, Passage/Winter Visitor",100-500 Pairs,BW,BLTGO,223.606797749979,limosa limosa,"A winter visitor, passage migrant and scarce summer breeding species",limosa limosa,3947,Limosa limosa,Black-tailed Godwit
Hudsonian Godwit,http://app.bto.org/birdfacts/results/bob5330.htm,Limosa haemastica,Accidental,1-10 Records,HU,HUDGO,3.1622776601683795,limosa haemastica,A rare vagrant,limosa haemastica,3950,Limosa haemastica,Hudsonian Godwit
Turnstone,http://app.bto.org/birdfacts/results/bob5610.htm,Arenaria interpres,"Scarce Breeder, Passage/Winter Visitor",10000 - 100000 Birds,TT,TURNS,31622.776601683774,arenaria interpres,A resident breeding species,arenaria interpres,3938,Arenaria interpres,Ruddy Turnstone
Great Knot,http://app.bto.org/birdfacts/results/bob4950.htm,Calidris tenuirostris,Accidental,1-10 Records,KO,,3.1622776601683795,calidris tenuirostris,A rare vagrant,calidris tenuirostris,3852,Calidris tenuirostris,Great Knot
Knot,http://app.bto.org/birdfacts/results/bob4960.htm,Calidris canutus,Passage/Winter Visitor,100000 - 500000 Birds,KN,KNOT.,223606.7977499789,calidris canutus,,,3845,Calidris canutus,Red Knot
Ruff,http://app.bto.org/birdfacts/results/bob5170.htm,Calidris pugnax,"Scarce Breeder, Passage/Winter Visitor",500 - 1000 Birds,RU,RUFF.,707.1067811865472,calidris pugnax,A passage migrant and scarce breeding resident,calidris pugnax,339593,Calidris pugnax,Ruff
Broad-billed Sandpiper,http://app.bto.org/birdfacts/results/bob5140.htm,Calidris falcinellus,Accidental,100-500 Records,OA,BRBSA,223.606797749979,calidris falcinellus,A rare vagrant,calidris falcinellus,339594,Calidris falcinellus,Broad-billed Sandpiper
Sharp-tailed Sandpiper,http://app.bto.org/birdfacts/results/bob5080.htm,Calidris acuminata,Accidental,10 - 100 Records,VV,SHTSA,31.622776601683803,calidris acuminata,A rare vagrant,calidris acuminata,3844,Calidris acuminata,Sharp-tailed Sandpiper
Stilt Sandpiper,http://app.bto.org/birdfacts/results/bob5150.htm,Calidris himantopus,Accidental,10 - 100 Records,MI,STISA,31.622776601683803,calidris himantopus,A rare vagrant,calidris himantopus,3850,Calidris himantopus,Stilt Sandpiper
Curlew Sandpiper,http://app.bto.org/birdfacts/results/bob5090.htm,Calidris ferruginea,Passage Visitor,500 - 1000 Birds,CV,CURSA,707.1067811865472,calidris ferruginea,A winter visitor and passage migrant,calidris ferruginea,3863,Calidris ferruginea,Curlew Sandpiper
Temminck’s Stint,http://app.bto.org/birdfacts/results/bob5020.htm,Calidris temminckii,"Scarce Breeder, Passage Visitor",100-500 Birds,TK,TEMST,223.606797749979,calidris temminckii,,,3837,Calidris temminckii,Temminck's Stint
Long-toed Stint,http://app.bto.org/birdfacts/results/bob5030.htm,Calidris subminuta,Accidental,1-10 Records,,LOTST,3.1622776601683795,calidris subminuta,A rare vagrant,calidris subminuta,3848,Calidris subminuta,Long-toed Stint
Red-necked Stint,http://app.bto.org/birdfacts/results/bob5000.htm,Calidris ruficollis,Accidental,1-10 Records,,,3.1622776601683795,calidris ruficollis,A rare vagrant,calidris ruficollis,3854,Calidris ruficollis,Red-necked Stint
Sanderling,http://app.bto.org/birdfacts/results/bob4970.htm,Calidris alba,Passage/Winter Visitor,10000 - 100000 Birds,SS,SANDE,31622.776601683774,calidris alba,A winter visitor & passage migrant,calidris alba,3849,Calidris alba,Sanderling
Dunlin,http://app.bto.org/birdfacts/results/bob5120.htm,Calidris alpina,"Migrant Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,DN,DUNLI,3162.277660168381,calidris alpina,"A winter visitor and passage migrant, scarce breeder",calidris alpina,3857,Calidris alpina,Dunlin
Purple Sandpiper,http://app.bto.org/birdfacts/results/bob5100.htm,Calidris maritima,"Scarce Breeder, Passage/Winter Visitor",1000 - 10000 Birds,PS,PURSA,3162.277660168381,calidris maritima,"A winter visitor & passage migrant, occasional breeder",calidris maritima,3856,Calidris maritima,Purple Sandpiper
Baird’s Sandpiper,http://app.bto.org/birdfacts/results/bob5060.htm,Calidris bairdii,Accidental,100-500 Records,BP,BAISA,223.606797749979,calidris bairdii,,,3851,Calidris bairdii,Baird's Sandpiper
Little Stint,http://app.bto.org/birdfacts/results/bob5010.htm,Calidris minuta,Passage Visitor,500 - 1000 Birds,LX,LITST,707.1067811865472,calidris minuta,A winter visitor & passage migrant,calidris minuta,3838,Calidris minuta,Little Stint
Least Sandpiper,http://app.bto.org/birdfacts/results/bob5040.htm,Calidris minutilla,Accidental,10 - 100 Records,EP,LEASA,31.622776601683803,calidris minutilla,A rare vagrant,calidris minutilla,3864,Calidris minutilla,Least Sandpiper
White-rumped Sandpiper,http://app.bto.org/birdfacts/results/bob5050.htm,Calidris fuscicollis,Scarce Visitor,10 - 100 Birds,WU,WHRSA,31.622776601683803,calidris fuscicollis,A scarce migrant,calidris fuscicollis,3866,Calidris fuscicollis,White-rumped Sandpiper
Buff-breasted Sandpiper,http://app.bto.org/birdfacts/results/bob5160.htm,Calidris subruficollis,Scarce Visitor,10 - 100 Birds,BQ,BUBSA,31.622776601683803,calidris subruficollis,A passage migrant,calidris subruficollis,339596,Calidris subruficollis,Buff-breasted Sandpiper
Pectoral Sandpiper,http://app.bto.org/birdfacts/results/bob5070.htm,Calidris melanotos,"Scarce Visitor, Has probably bred",100-500 Birds,PP,PECSA,223.606797749979,calidris melanotos,A winter visitor & passage migrant,calidris melanotos,3865,Calidris melanotos,Pectoral Sandpiper
Semipalmated Sandpiper,http://app.bto.org/birdfacts/results/bob4980.htm,Calidris pusilla,Scarce Visitor,100-500 Records,PZ,SEMSA,223.606797749979,calidris pusilla,A rare vagrant,calidris pusilla,3862,Calidris pusilla,Semipalmated Sandpiper
Western Sandpiper,http://app.bto.org/birdfacts/results/bob4990.htm,Calidris mauri,Accidental,1-10 Records,ER,WESSA,3.1622776601683795,calidris mauri,A rare vagrant,calidris mauri,3855,Calidris mauri,Western Sandpiper
Long-billed Dowitcher,http://app.bto.org/birdfacts/results/bob5270.htm,Limnodromus scolopaceus,Accidental,100-500 Records,LD,LOBDO,223.606797749979,limnodromus scolopaceus,A rare vagrant,limnodromus scolopaceus,3873,Limnodromus scolopaceus,Long-billed Dowitcher
Short-billed Dowitcher,http://app.bto.org/birdfacts/results/bob5260.htm,Limnodromus griseus,Accidental,1-10 Records,,SHBDO,3.1622776601683795,limnodromus griseus,A rare vagrant,limnodromus griseus,3869,Limnodromus griseus,Short-billed Dowitcher
Woodcock,http://app.bto.org/birdfacts/results/bob5290.htm,Scolopax rusticola,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Males,WK,WOODC,31622.776601683774,scolopax rusticola,A resident breeding species,scolopax rusticola,3931,Scolopax rusticola,Eurasian Woodcock
Jack Snipe,http://app.bto.org/birdfacts/results/bob5180.htm,Lymnocryptes minimus,Passage/Winter Visitor,100000 - 500000 Birds,JS,JACSN,223606.7977499789,lymnocryptes minimus,A winter visitor & passage migrant,lymnocryptes minimus,3911,Lymnocryptes minimus,Jack Snipe
Great Snipe,http://app.bto.org/birdfacts/results/bob5200.htm,Gallinago media,Accidental,100-500 Records,DS,GRESN,223.606797749979,gallinago media,A rare vagrant,gallinago media,3919,Gallinago media,Great Snipe
Snipe,http://app.bto.org/birdfacts/results/bob5190.htm,Gallinago gallinago,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,SN,SNIPE,31622.776601683774,gallinago gallinago,,,318836,Gallinago gallinago,Common Snipe
Wilson's Snipe,http://app.bto.org/birdfacts/results/bob5192.htm,Gallinago delicata,Accidental,1-10 Records,,,3.1622776601683795,gallinago delicata,A rare vagrant,gallinago delicata,144496,Gallinago delicata,Wilson's Snipe
Terek Sandpiper,http://app.bto.org/birdfacts/results/bob5550.htm,Xenus cinereus,Accidental,10 - 100 Records,TR,TERSA,31.622776601683803,xenus cinereus,A rare vagrant,xenus cinereus,3969,Xenus cinereus,Terek Sandpiper
Wilson’s Phalarope,http://app.bto.org/birdfacts/results/bob5630.htm,Phalaropus tricolor,Accidental,100-500 Records,WF,WILPH,223.606797749979,phalaropus tricolor,,,144497,Phalaropus tricolor,Wilson's Phalarope
Red-necked Phalarope,http://app.bto.org/birdfacts/results/bob5640.htm,Phalaropus lobatus,"Migrant Breeder, Passage Visitor",10 - 100 Males,NK,RENPH,31.622776601683803,phalaropus lobatus,A winter visitor: scarce & localised summer breeding in far North,phalaropus lobatus,3959,Phalaropus lobatus,Red-necked Phalarope
Grey Phalarope,http://app.bto.org/birdfacts/results/bob5650.htm,Phalaropus fulicarius,Passage Visitor,100-500 Birds,PL,GREPH,223.606797749979,phalaropus fulicarius,A scarce winter visitor,phalaropus fulicaria,73203,Phalaropus fulicarius,Red Phalarope
Common Sandpiper,http://app.bto.org/birdfacts/results/bob5560.htm,Actitis hypoleucos,"Migrant Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,CS,COMSA,31622.776601683774,actitis hypoleucos,A resident breeding species and passage migrant,actitis hypoleucos,3978,Actitis hypoleucos,Common Sandpiper
Spotted Sandpiper,http://app.bto.org/birdfacts/results/bob5570.htm,Actitis macularius,"Accidental, Has Bred",100-500 Records,PQ,SPOSA,223.606797749979,actitis macularius,A rare vagrant,actitis macularius,72458,Actitis macularius,Spotted Sandpiper
Green Sandpiper,http://app.bto.org/birdfacts/results/bob5530.htm,Tringa ochropus,"Scarce Breeder, Passage/Winter Visitor", ,GE,GRESA,,tringa ochropus,"A winter visitor & passage migrant, occasional breeder",tringa ochropus,3885,Tringa ochropus,Green Sandpiper
Solitary Sandpiper,http://app.bto.org/birdfacts/results/bob5520.htm,Tringa solitaria,Accidental,10 - 100 Records,I.,SOLSA,31.622776601683803,tringa solitaria,A rare vagrant,tringa solitaria,3875,Tringa solitaria,Solitary Sandpiper
Grey-tailed Tattler,http://app.bto.org/birdfacts/results/bob5580.htm,Tringa brevipes,Accidental,1-10 Records,YT,,3.1622776601683795,tringa brevipes,A rare vagrant,tringa brevipes,144489,Tringa brevipes,Grey-tailed Tattler
Lesser Yellowlegs,http://app.bto.org/birdfacts/results/bob5510.htm,Tringa flavipes,Accidental,100-500 Records,LY,LESYE,223.606797749979,tringa flavipes,A rare vagrant,tringa flavipes,3893,Tringa flavipes,Lesser Yellowlegs
Redshank,http://app.bto.org/birdfacts/results/bob5460.htm,Tringa totanus,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,RK,REDSH,31622.776601683774,tringa totanus,,,3879,Tringa totanus,Common Redshank
Marsh Sandpiper,http://app.bto.org/birdfacts/results/bob5470.htm,Tringa stagnatilis,Accidental,100-500 Records,MD,MARSA,223.606797749979,tringa stagnatilis,A rare vagrant,tringa stagnatilis,3881,Tringa stagnatilis,Marsh Sandpiper
Wood Sandpiper,http://app.bto.org/birdfacts/results/bob5540.htm,Tringa glareola,"Scarce Breeder, Passage Visitor", ,OD,WOOSA,,tringa glareola,A passage migrant & rare localised breeder in far North,tringa glareola,3888,Tringa glareola,Wood Sandpiper
Spotted Redshank,http://app.bto.org/birdfacts/results/bob5450.htm,Tringa erythropus,Passage/Winter Visitor,100-500 Birds,DR,SPORE,223.606797749979,tringa erythropus,A winter visitor and passage migrant,tringa erythropus,3882,Tringa erythropus,Spotted Redshank
Greenshank,http://app.bto.org/birdfacts/results/bob5480.htm,Tringa nebularia,"Migrant/Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,GK,GRESH,3162.277660168381,tringa nebularia,,,3878,Tringa nebularia,Common Greenshank
Greater Yellowlegs,http://app.bto.org/birdfacts/results/bob5500.htm,Tringa melanoleuca,Accidental,10 - 100 Records,LZ,GREYE,31.622776601683803,tringa melanoleuca,A rare vagrant,tringa melanoleuca,3892,Tringa melanoleuca,Greater Yellowlegs
Cream-coloured Courser,http://app.bto.org/birdfacts/results/bob4640.htm,Cursorius cursor,Accidental,1-10 Records,,CRCCO,3.1622776601683795,cursorius cursor,A rare vagrant,cursorius cursor,4595,Cursorius cursor,Cream-coloured Courser
Collared Pratincole,http://app.bto.org/birdfacts/results/bob4650.htm,Glareola pratincola,Scarce Visitor,10 - 100 Records,KM,COLPR,31.622776601683803,glareola pratincola,A rare vagrant,glareola pratincola,4604,Glareola pratincola,Collared Pratincole
Oriental Pratincole,http://app.bto.org/birdfacts/results/bob4660.htm,Glareola maldivarum,Accidental,1-10 Records,GM,,3.1622776601683795,glareola maldivarum,A rare vagrant,glareola maldivarum,4601,Glareola maldivarum,Oriental Pratincole
Black-winged Pratincole,http://app.bto.org/birdfacts/results/bob4670.htm,Glareola nordmanni,Accidental,10 - 100 Records,KW,BLWPR,31.622776601683803,glareola nordmanni,A rare vagrant,glareola nordmanni,4605,Glareola nordmanni,Black-winged Pratincole
Kittiwake,http://app.bto.org/birdfacts/results/bob6020.htm,Rissa tridactyla,"Migrant/Resident Breeder, Passage/Winter Visitor",100000 - 500000 Pairs,KI,KITTI,223606.7977499789,rissa tridactyla,,,4494,Rissa tridactyla,Black-legged Kittiwake
Ivory Gull,http://app.bto.org/birdfacts/results/bob6040.htm,Pagophila eburnea,Accidental,10 - 100 Records,IV,IVOGU,31.622776601683803,pagophila eburnea,A rare vagrant,pagophila eburnea,4555,Pagophila eburnea,Ivory Gull
Sabine’s Gull,http://app.bto.org/birdfacts/results/bob5790.htm,Xema sabini,Passage Visitor,100-500 Birds,AB,SABGU,223.606797749979,xema sabini,,,4571,Xema sabini,Sabine's Gull
Slender-billed Gull,http://app.bto.org/birdfacts/results/bob5850.htm,Chroicocephalus genei,Accidental,10 - 100 Records,EI,SLEGU,31.622776601683803,chroicocephalus genei,A rare vagrant,chroicocephalus genei,144501,Chroicocephalus genei,Slender-billed Gull
Bonaparte’s Gull,http://app.bto.org/birdfacts/results/bob5810.htm,Chroicocephalus philadelphia,Accidental,100-500 Records,ON,BONGU,223.606797749979,chroicocephalus philadelphia,,,144502,Chroicocephalus philadelphia,Bonaparte's Gull
Black-headed Gull,http://app.bto.org/birdfacts/results/bob5820.htm,Chroicocephalus ridibundus,"Migrant/Resident Breeder, Passage/Winter Visitor",100000 - 500000 Pairs,BH,BLHGU,223606.7977499789,chroicocephalus ridibundus,A resident breeding species,chroicocephalus ridibundus,144510,Chroicocephalus ridibundus,Black-headed Gull
Little Gull,http://app.bto.org/birdfacts/results/bob5780.htm,Hydrocoloeus minutus,"Scarce Breeder, Passage/Winter Visitor", ,LU,LITGU,,hydrocoloeus minutus,"A winter visitor, occasional breeder",hydrocoloeus minutus,144512,Hydrocoloeus minutus,Little Gull
Ross’s Gull,http://app.bto.org/birdfacts/results/bob6010.htm,Rhodostethia rosea,Accidental,10 - 100 Records,QG,ROSGU,31.622776601683803,rhodostethia rosea,,,4557,Rhodostethia rosea,Ross's Gull
Laughing Gull,http://app.bto.org/birdfacts/results/bob5760.htm,Leucophaeus atricilla,Accidental,100-500 Records,LF,LAUGU,223.606797749979,leucophaeus atricilla,A rare vagrant,leucophaeus atricilla,144514,Leucophaeus atricilla,Laughing Gull
Franklin’s Gull,http://app.bto.org/birdfacts/results/bob5770.htm,Leucophaeus pipixcan,Accidental,10 - 100 Records,FG,FRAGU,31.622776601683803,leucophaeus pipixcan,,,144515,Leucophaeus pipixcan,Franklin's Gull
